# Assembly Statistics Report
# Assembly name:  Amel_HAv3.1
# Organism name:  Apis mellifera (honey bee)
# Infraspecific name:  strain=DH4
# Sex:  male
# Taxid:          7460
# BioSample:      SAMN09259743
# BioProject:     PRJNA471592
# Submitter:      Uppsala University
# Date:           2018-09-10
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QIUM02
# Assembly method: FALCON v. 0.5.0; Arcs v. 1.0.1; Links v. 1.8.5; BioNano Solve v. 3.1
# Expected final version: yes
# Genome coverage: 192.0x
# Sequencing technology: PacBio; 10X Chromium; Phase Genomics HiC; Bionano
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_003254395.2
# RefSeq assembly accession: GCF_003254395.2
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003254405.2	GCF_003254405.2	Primary Assembly
## GCA_003254415.2	GCF_000184175.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
Primary Assembly	LG1	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG2	Linkage Group	all	total-length	16093500
Primary Assembly	LG2	Linkage Group	all	ungapped-length	16074251
Primary Assembly	LG2	Linkage Group	all	spanned-gaps	1
Primary Assembly	LG2	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG2	Linkage Group	assembled-molecule	total-length	16089512
Primary Assembly	LG2	Linkage Group	assembled-molecule	ungapped-length	16070263
Primary Assembly	LG2	Linkage Group	assembled-molecule	spanned-gaps	1
Primary Assembly	LG2	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG2	Linkage Group	unlocalized-scaffold	total-length	3988
Primary Assembly	LG2	Linkage Group	unlocalized-scaffold	ungapped-length	3988
Primary Assembly	LG2	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG2	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG3	Linkage Group	all	total-length	13619445
Primary Assembly	LG3	Linkage Group	all	ungapped-length	13594207
Primary Assembly	LG3	Linkage Group	all	spanned-gaps	1
Primary Assembly	LG3	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG3	Linkage Group	assembled-molecule	total-length	13619445
Primary Assembly	LG3	Linkage Group	assembled-molecule	ungapped-length	13594207
Primary Assembly	LG3	Linkage Group	assembled-molecule	spanned-gaps	1
Primary Assembly	LG3	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG3	Linkage Group	unlocalized-scaffold	total-length	0
Primary Assembly	LG3	Linkage Group	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG3	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG3	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG4	Linkage Group	all	total-length	13404451
Primary Assembly	LG4	Linkage Group	all	ungapped-length	13404451
Primary Assembly	LG4	Linkage Group	all	spanned-gaps	0
Primary Assembly	LG4	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG4	Linkage Group	assembled-molecule	total-length	13404451
Primary Assembly	LG4	Linkage Group	assembled-molecule	ungapped-length	13404451
Primary Assembly	LG4	Linkage Group	assembled-molecule	spanned-gaps	0
Primary Assembly	LG4	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG4	Linkage Group	unlocalized-scaffold	total-length	0
Primary Assembly	LG4	Linkage Group	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG4	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG4	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG5	Linkage Group	all	total-length	13920984
Primary Assembly	LG5	Linkage Group	all	ungapped-length	13870405
Primary Assembly	LG5	Linkage Group	all	spanned-gaps	3
Primary Assembly	LG5	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG5	Linkage Group	assembled-molecule	total-length	13896941
Primary Assembly	LG5	Linkage Group	assembled-molecule	ungapped-length	13846362
Primary Assembly	LG5	Linkage Group	assembled-molecule	spanned-gaps	3
Primary Assembly	LG5	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG5	Linkage Group	unlocalized-scaffold	total-length	24043
Primary Assembly	LG5	Linkage Group	unlocalized-scaffold	ungapped-length	24043
Primary Assembly	LG5	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG5	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG6	Linkage Group	all	total-length	17812983
Primary Assembly	LG6	Linkage Group	all	ungapped-length	17679060
Primary Assembly	LG6	Linkage Group	all	spanned-gaps	6
Primary Assembly	LG6	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG6	Linkage Group	assembled-molecule	total-length	17789102
Primary Assembly	LG6	Linkage Group	assembled-molecule	ungapped-length	17655179
Primary Assembly	LG6	Linkage Group	assembled-molecule	spanned-gaps	6
Primary Assembly	LG6	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG6	Linkage Group	unlocalized-scaffold	total-length	23881
Primary Assembly	LG6	Linkage Group	unlocalized-scaffold	ungapped-length	23881
Primary Assembly	LG6	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG6	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG7	Linkage Group	all	total-length	14262382
Primary Assembly	LG7	Linkage Group	all	ungapped-length	14262182
Primary Assembly	LG7	Linkage Group	all	spanned-gaps	1
Primary Assembly	LG7	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG7	Linkage Group	assembled-molecule	total-length	14198698
Primary Assembly	LG7	Linkage Group	assembled-molecule	ungapped-length	14198498
Primary Assembly	LG7	Linkage Group	assembled-molecule	spanned-gaps	1
Primary Assembly	LG7	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG7	Linkage Group	unlocalized-scaffold	total-length	63684
Primary Assembly	LG7	Linkage Group	unlocalized-scaffold	ungapped-length	63684
Primary Assembly	LG7	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG7	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG8	Linkage Group	all	total-length	12786769
Primary Assembly	LG8	Linkage Group	all	ungapped-length	12744181
Primary Assembly	LG8	Linkage Group	all	spanned-gaps	4
Primary Assembly	LG8	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG8	Linkage Group	assembled-molecule	total-length	12717210
Primary Assembly	LG8	Linkage Group	assembled-molecule	ungapped-length	12674622
Primary Assembly	LG8	Linkage Group	assembled-molecule	spanned-gaps	4
Primary Assembly	LG8	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG8	Linkage Group	unlocalized-scaffold	total-length	69559
Primary Assembly	LG8	Linkage Group	unlocalized-scaffold	ungapped-length	69559
Primary Assembly	LG8	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG8	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG9	Linkage Group	all	total-length	12729961
Primary Assembly	LG9	Linkage Group	all	ungapped-length	12709527
Primary Assembly	LG9	Linkage Group	all	spanned-gaps	2
Primary Assembly	LG9	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG9	Linkage Group	assembled-molecule	total-length	12354651
Primary Assembly	LG9	Linkage Group	assembled-molecule	ungapped-length	12334217
Primary Assembly	LG9	Linkage Group	assembled-molecule	spanned-gaps	2
Primary Assembly	LG9	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG9	Linkage Group	unlocalized-scaffold	total-length	375310
Primary Assembly	LG9	Linkage Group	unlocalized-scaffold	ungapped-length	375310
Primary Assembly	LG9	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG9	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG10	Linkage Group	all	total-length	12657134
Primary Assembly	LG10	Linkage Group	all	ungapped-length	11936571
Primary Assembly	LG10	Linkage Group	all	spanned-gaps	9
Primary Assembly	LG10	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG10	Linkage Group	assembled-molecule	total-length	12360052
Primary Assembly	LG10	Linkage Group	assembled-molecule	ungapped-length	11639489
Primary Assembly	LG10	Linkage Group	assembled-molecule	spanned-gaps	9
Primary Assembly	LG10	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG10	Linkage Group	unlocalized-scaffold	total-length	297082
Primary Assembly	LG10	Linkage Group	unlocalized-scaffold	ungapped-length	297082
Primary Assembly	LG10	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG10	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG11	Linkage Group	all	total-length	16444887
Primary Assembly	LG11	Linkage Group	all	ungapped-length	16307544
Primary Assembly	LG11	Linkage Group	all	spanned-gaps	4
Primary Assembly	LG11	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG11	Linkage Group	assembled-molecule	total-length	16352600
Primary Assembly	LG11	Linkage Group	assembled-molecule	ungapped-length	16215257
Primary Assembly	LG11	Linkage Group	assembled-molecule	spanned-gaps	4
Primary Assembly	LG11	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG11	Linkage Group	unlocalized-scaffold	total-length	92287
Primary Assembly	LG11	Linkage Group	unlocalized-scaffold	ungapped-length	92287
Primary Assembly	LG11	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG11	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG12	Linkage Group	all	total-length	11533137
Primary Assembly	LG12	Linkage Group	all	ungapped-length	11521074
Primary Assembly	LG12	Linkage Group	all	spanned-gaps	2
Primary Assembly	LG12	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG12	Linkage Group	assembled-molecule	total-length	11514234
Primary Assembly	LG12	Linkage Group	assembled-molecule	ungapped-length	11502171
Primary Assembly	LG12	Linkage Group	assembled-molecule	spanned-gaps	2
Primary Assembly	LG12	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG12	Linkage Group	unlocalized-scaffold	total-length	18903
Primary Assembly	LG12	Linkage Group	unlocalized-scaffold	ungapped-length	18903
Primary Assembly	LG12	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG12	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG13	Linkage Group	all	total-length	11279722
Primary Assembly	LG13	Linkage Group	all	ungapped-length	11264424
Primary Assembly	LG13	Linkage Group	all	spanned-gaps	5
Primary Assembly	LG13	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG13	Linkage Group	assembled-molecule	total-length	11279722
Primary Assembly	LG13	Linkage Group	assembled-molecule	ungapped-length	11264424
Primary Assembly	LG13	Linkage Group	assembled-molecule	spanned-gaps	5
Primary Assembly	LG13	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG13	Linkage Group	unlocalized-scaffold	total-length	0
Primary Assembly	LG13	Linkage Group	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG13	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG13	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG14	Linkage Group	all	total-length	10910039
Primary Assembly	LG14	Linkage Group	all	ungapped-length	10909621
Primary Assembly	LG14	Linkage Group	all	spanned-gaps	2
Primary Assembly	LG14	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG14	Linkage Group	assembled-molecule	total-length	10670842
Primary Assembly	LG14	Linkage Group	assembled-molecule	ungapped-length	10670424
Primary Assembly	LG14	Linkage Group	assembled-molecule	spanned-gaps	2
Primary Assembly	LG14	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG14	Linkage Group	unlocalized-scaffold	total-length	239197
Primary Assembly	LG14	Linkage Group	unlocalized-scaffold	ungapped-length	239197
Primary Assembly	LG14	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG14	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG15	Linkage Group	all	total-length	9922473
Primary Assembly	LG15	Linkage Group	all	ungapped-length	9922473
Primary Assembly	LG15	Linkage Group	all	spanned-gaps	0
Primary Assembly	LG15	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG15	Linkage Group	assembled-molecule	total-length	9534514
Primary Assembly	LG15	Linkage Group	assembled-molecule	ungapped-length	9534514
Primary Assembly	LG15	Linkage Group	assembled-molecule	spanned-gaps	0
Primary Assembly	LG15	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG15	Linkage Group	unlocalized-scaffold	total-length	387959
Primary Assembly	LG15	Linkage Group	unlocalized-scaffold	ungapped-length	387959
Primary Assembly	LG15	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG15	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG16	Linkage Group	all	total-length	7238532
Primary Assembly	LG16	Linkage Group	all	ungapped-length	7182304
Primary Assembly	LG16	Linkage Group	all	spanned-gaps	2
Primary Assembly	LG16	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG16	Linkage Group	assembled-molecule	total-length	7238532
Primary Assembly	LG16	Linkage Group	assembled-molecule	ungapped-length	7182304
Primary Assembly	LG16	Linkage Group	assembled-molecule	spanned-gaps	2
Primary Assembly	LG16	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG16	Linkage Group	unlocalized-scaffold	total-length	0
Primary Assembly	LG16	Linkage Group	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG16	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG16	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	all	all	all	total-length	16471
non-nuclear	all	all	all	ungapped-length	16471
non-nuclear	all	all	all	spanned-gaps	0
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	assembled-molecule	total-length	16471
non-nuclear	all	all	assembled-molecule	ungapped-length	16471
non-nuclear	all	all	assembled-molecule	spanned-gaps	0
non-nuclear	all	all	assembled-molecule	unspanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	total-length	0
non-nuclear	all	all	unlocalized-scaffold	ungapped-length	0
non-nuclear	all	all	unlocalized-scaffold	spanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	all	total-length	16471
non-nuclear	MT	Mitochondrion	all	ungapped-length	16471
non-nuclear	MT	Mitochondrion	all	spanned-gaps	0
non-nuclear	MT	Mitochondrion	all	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	assembled-molecule	total-length	16471
non-nuclear	MT	Mitochondrion	assembled-molecule	ungapped-length	16471
non-nuclear	MT	Mitochondrion	assembled-molecule	spanned-gaps	0
non-nuclear	MT	Mitochondrion	assembled-molecule	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	total-length	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	ungapped-length	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	spanned-gaps	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	unspanned-gaps	0
